S.No,Book Title,Author,Translation Author,ISBN,Book Code,"Digital 
Copyrights","Digitized 
(PDF Unicode Text)",eBook (EPUB),"Amazon Kindle 
Link","Google Playbooks 
Link","References 
Link",Audio Books,"Google Link for 
Audio Books"
199,Eight Upanishads (Set of 2 vols.) … … [HB],Swami Gambhirananda,,9788175050150,ASED04,,,,,,,,
200,Eight Upanishads Set [HB] Vol 1,Swami Gambhirananda,,9788175050167,ASED05,,,,,,,,
201,Eight Upanishads Set [HB] Vol 2,Swami Gambhirananda,,9788175050174,ASED06,,,,,,,,
202,Isha Upanishad,Swami Gambhirananda,,9788175050938,ASE007,,,,,,,,
203,Kena Upanishad,Swami Gambhirananda,,9788175050686,ASE008,,,,,,,,
204,Katha Upanishad,Swami Gambhirananda,,9788185301334,ASE009,,,,,,,,
205,Mundaka Upanishad,Swami Gambhirananda,,9788175050983,ASE010,,,,,,,,
206,Mandukya Upanishad,Swami Gambhirananda,,9788175050990,ASE011,,,,,,,,
207,Prashna Upanishad,Swami Gambhirananda,,9788175050235,ASE012,,,,,,,,
208,Aitareya Upanishad,Swami Gambhirananda,,9788185301341,ASE013,,,,,,,,
209,Taittiriya Upanishad,Swami Gambhirananda,,9788175050242,ASE014,,,,,,,,
210,Brihadaranyaka Upanishad (Shankara) [HB],Swami Madhavananda,,9788175051027,ASED18,,,,,,,,
211,Minor Upanishads,Swami Madhavananda,,9788175051041,ASE021,,,,,,,,
212,Vivekachudamani,Swami Madhavananda,,9788175051065,ASE028,,,,,,,,
213,Bhasha Pariccheda … … … … … … [HB],Swami Madhavananda,,9788175051126,ASE036,,,,,,,,
214,Vedanta Paribhasha,Swami Madhavananda,,9788175051133,ASE037,,,,,,,,
215,Mimamsa Paribhasha,Swami Madhavananda,,9788175051140,ASE038,,,,,,,,
216,Uddhava Gita,Swami Madhavananda,,9788175051157,ASE040,,,,,,,,
217,Vairagya Shatakam,Swami Madhavananda,,9788185301945,ASE042,,,,,,,,
218,The Bhagavad Gita (English translation only),Swami Nikhilananda,,9788175053076,ASE067,,,,,,,,
219,The Bhagavad Gita (Pocket Edition),Swami Nikhilananda,,9788175053069,ASE068,,,,,,,,
220,"The Upanishads Vol.1 Katha, Isa, Kena & Mundaka",Swami Nikhilananda,,9788175053014,ASE062,,,,,,,,
221,"The Upanishads Vol.2 Svetasvatara, Prasna & Mandukya",Swami Nikhilananda,,9788175053021,ASE063,,,,,,,,
222,The Upanishads Vol.3 Aitareya & Brihadaranyaka,Swami Nikhilananda,,9788175053038,ASE064,,,,,,,,
223,The Upanishads Vol.4 Taittiriya & Chandogya,Swami Nikhilananda,,9788175053045,ASE065,,,,,,,,
224,UPANISHADS [SET],Swami Nikhilananda,,9788175053120,ASE066,,,,,,,,
225,The Upanishads: Abridged Edition,Swami Nikhilananda,,9788175053007,ASE061,,,,,,,,
226,Mandukya Upanishad with Karika,Swami Nikhilananda,,9788175050228,ASE022,,,,,,,,
227,Vedantasara,Swami Nikhilananda,,9788175051102,ASE032,,,,,,,,
228,Drig Drishya Viveka,Swami Nikhilananda,,9788175050273,ASE039,,,,,,,,
229,Ashtavakra Samhita,Swami Nityaswarupananda,,9788185301136,ASE033,,,,,,,,
230,Mind and Its Control,Swami Budhananda,,9788175050341,APE001,,,,,,,,
231,Personality Development,Swami Vivekananda,,9788175052246,APE023,,,,,,,,
232,Will-Power and Its Development,Swami Budhananda,,9788185301648,APE010,,,,,,,,
233,How to Build Character,Swami Budhananda,,9788175051492,APE017,,,,,,,,
234,Common Sense About Yoga,Swami Pavitrananda,,9788175050488,APE002,,,,,,,,
235,Meditation & Other Spiritual Disciplines,Swami Swahananda,,9788185301853,APE003,,,,,,,,
236,In the Hours of Meditation,F.J. Alexander,,9788175050471,APE005,,,,,,,,
237,Towards the Goal Supreme,Swami Virajananda,,9788175050327,APE006,,,,,,,,
238,Modern Man in Search of Religion,Swami Pavitrananda,,9788175051218,APE007,,,,,,,,
239,For Seekers of God,Swami Shivananda,,9788175051225,APE008,,,,,,,,
240,Spiritual Ideals for Modern Age,Swami Vireswarananda,,9788175050501,APE009,,,,,,,,
241,Thoughts on Spiritual Life,Swami Bhuteshananda,,9788175051249,APE012,,,,,,,,
242,Strive to Attain God … … … … … … [HB],Swami Virajananda,,9788185301990,APE015,,,,,,,,
243,Religion and Its Practice,Disciples of Ramakrishna,,9788175051256,APE018,,,,,,,,
244,Seeing God Everywhere,Swami Shraddhananda,,9788175051935,APE019,,,,,,,,
245,Meditation and Its Preparation,Compilation,,9788175051959,APE020,,,,,,,,
246,Meditation and Its Practices … … … [HB],Swami Adiswarananda,,9788175052598,APE024,,,,,,,,
247,Meditation and Spiritual Life,Swami Yotiswarananda,,9788175052956,APE025,,,,,,,,
248,Meditation according to Yoga Vedanta,Swami Siddheswarananda,,9788175052932,APE026,,,,,,,,
249,"Relief of Tension, Depression, Anxiety.",Swami Tathagatananda,,9788175052987,APE027,,,,,,,,
250,Meditation as Spiritual Culmination (Set),Swami Sarvagatananda,,9788175054356,APE030,,,,,,,,
251,Effective Life Management,Swami Amartyananda,,9788175053236,APE031,,,,,,,,
252,Realizing God,Swami Prabhavananda,,9788175053373,APE032,,,,,,,,
253,Healthy Values of Living,Swami Tathagatananda,,9788175053380,APE033,,,,,,,,
254,Self Development,Swami Premeshananda,,9788175053502,APE034,,,,,,,,
255,"Fear Not, Be Strong",Swami Tathagatananda,,9788175054035,APE035,,,,,,,,
256,Goodbye to Negetivity,Swami Gokulananda,,9788175054134,APE036,,,,,,,,
257,GO FORWARD,Swami Premeshananda,,9788175054547,APE037,,,,,,,,
258,THE CONTEMPLATIVE LIFE,,,9788175054677,APE038,,,,,,,,
259,HEALTHY AGING,Swami Satyaswarupananda,,9788175054806,APE039,,,,,,,,
260,PSYCHOLOGICAL ASPECTS OF SPIRITUAL LIFE,Swami Nityasthananda,,9788175054905,APE040,,,,,,,,
261,Cradle Tales of Hinduism,Sister Nivedita,,9788185301938,AOE001,,,,,,,,
262,Kali the Mother,Sister Nivedita,,9788175050402,AOE002,,,,,,,,
263,Footfalls of Indian History,Sister Nivedita,,9788175051270,AOE003,,,,,,,,
264,Complete Works of Sister Nivedita(Set)[HB],Sister Nivedita,,9788175050099,AOE004,,,,,,,,
265,Complete Works of Sister Nivedita(Set)[HB] Vol 1,Sister Nivedita,,9788175050105,AOE005,,,,,,,,
266,Complete Works of Sister Nivedita(Set)[HB] Vol 2,Sister Nivedita,,9788175050112,AOE006,,,,,,,,
267,Complete Works of Sister Nivedita(Set)[HB] Vol 3,Sister Nivedita,,9788175050129,AOE007,,,,,,,,
268,Complete Works of Sister Nivedita(Set)[HB] Vol 4,Sister Nivedita,,9788175050136,AOE008,,,,,,,,
269,Complete Works of Sister Nivedita(Set)[HB] Vol 5,Sister Nivedita,,9788175050143,AOE009,,,,,,,,
270,Religion and Dharma,Sister Nivedita,,9788175051287,AOE021,,,,,,,,
271,The Web of Indian Life,Sister Nivedita,,9788175051294,AOE022,,,,,,,,
272,Myths & Legends of Hindus & Buddhists [HB],Sister Nivedita,,9788175051973,AOE038,,,,,,,,
273,Universal Message of the Bhagavad Gita[HB],Swami Ranganathananda,,,ASE051,,,,,,,,
